    phi1         Phi        phi2        area       omega           a           b
 3.30611     100.682     78.4686 1.26637e+06     92.9096     792.093     508.904
 179.813     32.1437     70.1747      723989     96.3839     580.754     396.817
 164.322     39.9701     94.0477      161684     107.417     436.169     117.995
 4.66144     136.596     82.4242  2.3602e+06     96.7316     1184.14     634.449
 19.2097     110.636      85.078      362918     123.741     379.473     304.423
 20.1574     71.3022     73.1056      363944     123.168     469.094     246.959
 181.453     67.3284     98.2038 1.49567e+06     110.147     1309.08      363.68
 8.77614      60.808     71.8705      354515     121.347     500.729     225.362
 177.229     147.653     87.7821      274121     107.579     359.332     242.827
 133.385     126.194     58.8938      173679     118.738     238.419     231.876
 14.8285      129.22     146.693 2.38778e+06     114.159     945.676     803.714
 12.3338     35.0795     80.6451 7.86811e+06      99.164     3029.02     826.835
 17.7185     89.5987     80.4677      777778     134.828     503.616     491.594
 20.1963     82.4658     87.1874 2.11739e+06     93.7037     1015.66      663.59
  176.24     96.8402     117.729      212672     65.1775     325.754     207.812
 9.57844     60.4704     91.7753 1.14836e+06     91.9514     804.553     454.333
 173.369     126.254     100.142      640067     146.518     514.277     396.166
 163.156     72.9054      67.319      441765     165.377     469.454     299.536
 16.0919     63.8732     65.0476      177108     112.374     271.982     207.276
 26.6045      79.315     86.2437 1.17501e+06     146.649     894.154     418.291
 155.102     115.192     54.0614      260174     95.3669     346.343     239.116
 19.6149     64.2029     80.9318      554535     103.799     511.882     344.833
  176.03     121.141     92.9374 1.09172e+06     27.1028     786.967     441.576
 13.3146     86.7084     92.3734 3.18546e+06     108.596     1242.11     816.321
 3.75581     111.485       78.96      451559     111.213     526.117     273.201
  7.2974     103.698     66.4595      306009     78.1206     394.272     247.052
 160.372     142.303     91.3587      740845     98.5852     595.062     396.292
 129.318     70.2519     49.4827      129864     64.7169      290.14     142.473
 97.5425     28.4964     13.6506      498020     125.045     497.471     318.661
 34.0451     50.3672     77.2952     81980.5     6.61691     162.528     160.558
 1.19921     118.517     70.7272 6.46971e+06     68.5127     1856.28     1109.41
 127.245      85.794     88.2495      535541     72.2283     492.731     345.966
 14.8349     43.4137     86.1619      526586     108.826     518.381     323.348
 17.8387     104.764     86.8436      151192      176.18     408.313     117.865
 6.22525     154.864     116.613      174928     7.91253     269.788     206.389
  11.153     23.5582     73.6598      376950     85.1666     429.412     279.421
 47.1548     46.2881     83.4629      558017     68.9937     462.812     383.789
 26.7917      66.311     52.6605      214129     95.5434      466.72     146.039
 9.47476      61.023     69.6037      193111     119.839     305.536     201.184
 177.265     85.6228       87.83      420220     113.041     496.137     269.604
 42.7152     16.5406     52.8319      816019     117.352      757.64     342.837
 166.714     26.9913      120.79 1.22205e+06     109.563     991.211     392.439
 32.9341      70.252     87.2701      428965     31.6559     462.926     294.958
  174.09     105.556     105.909      120393     65.5316     234.648     163.318
 3.46663     175.171     101.771 1.60506e+06     60.9027     917.854     556.631
 145.453     152.254     75.0839      936129     76.1613     699.922     425.732
 134.797     136.724     65.8084      370063     57.9502     421.355     279.562
 15.1261      49.591     95.1083 2.21408e+06     55.6515     1101.05     640.081
 38.9041     51.9858     54.2061  2.7318e+06      90.519     1350.92     643.681
 177.212     76.5418     115.863      339034     117.121      432.34     249.614
 29.5344     22.0688     60.1454 2.07393e+06      112.49     1010.66     653.191
 176.967     119.438       90.92      914962     110.559     662.448     439.644
 154.443     6.58029     119.708 1.55988e+06     105.962     1061.13     467.924
 13.4661     99.9335     63.8401      370156     131.899     448.866     262.494
 73.9034      149.31     178.038 1.50215e+06     57.3435     906.337     527.564
 17.3329     103.227     97.2472      198877     130.464     291.547     217.134
 8.16745     74.8033     81.0333 1.65159e+06     110.177     809.982      649.05
 17.6503     90.8181       79.63      531677     111.845     611.161     276.912
 23.4727     36.1713     74.8148 1.17681e+06     87.6068     877.124     427.065
 152.204     145.098     80.1082      640523     96.8381     550.492     370.369
 5.95393     84.8002     77.0791 1.07525e+06     99.7498     942.543     363.126
 15.1747     76.8103     58.3209      649201     171.607     542.097     381.199
 160.535     105.978     82.6473 2.78105e+06     87.2845     1120.32     790.163
 173.102     78.6505     91.8616      127349     74.9514     210.342     192.717
  97.947     25.2587     163.443 1.49168e+06      108.58     1008.93     470.612
 138.877     32.8381     145.155 5.92457e+06     103.734     2380.17     792.317
 135.589     101.019     55.7099      464513      88.741     479.906       308.1
 167.427     146.865     73.3826 3.99906e+06     93.0247     1997.38     637.306
 176.209     44.0822     109.646      768039     93.6034     683.971     357.434
  71.412     71.8662     30.5574      506049       87.38     503.128     320.158
 23.3353     103.436     71.9805  4.0457e+06      106.89     1368.91     940.738
 17.2912      72.481      73.631 1.53553e+06     96.7135      1068.2     457.568
  180.62      138.99      101.19 5.96854e+06     105.302     1507.72     1260.08
 151.489     124.427     89.5593 7.51509e+06     107.952     2551.51     937.533
 42.7627     30.8762     72.7615      511112     105.788     492.671     330.225
 139.358     24.4097     112.682      412012     31.4508     429.097     305.636
 16.0118     103.796     67.5032      735969     114.408     626.819     373.738
 15.1994     143.593     76.0364 2.03101e+06     111.132     1088.91     593.703
 164.907     127.933     89.9091      531052     123.464      480.17      352.04
 39.8056     99.1733     80.9381      490776      2.2144     711.531     219.553
 24.8781     82.3816     77.5213  2.6005e+06     113.138     1388.93     595.974
 17.1015      103.79     89.3703 1.12933e+06      82.941     693.464      518.38
 64.0631     5.82388     36.0509 4.10216e+06     102.531     1456.42     896.552
 12.9435     93.1156     83.0831      295536     1.61839     464.507      202.52
 172.614     86.6602     81.2368      141318     12.8486     263.139     170.947
 17.8153     57.3059      73.396      338570     82.7854      391.82     275.051
 51.8593     158.875      136.89      482104     102.868     409.191     375.029
 6.79859      53.298     77.9568      680704     132.269     531.553     407.627
 8.08181     55.6052     65.0807 3.41162e+06     87.5473     1591.77      682.23
 96.3388     23.1321     18.7809 1.51172e+06     54.1223     922.559     521.589
 162.792     102.313     29.1487  1.2262e+06     7.22205     722.887     539.936
 173.001     107.316     118.833 4.34744e+06     91.1658     1488.37     929.762
 13.9148     49.9672     93.7478      684819     17.9937     636.729     342.351
 30.2263     21.4741     67.0018 1.69531e+06      76.136     914.876     589.842
 143.365     97.1708     76.1339      319612     1.13338     379.149     268.327
  8.1028     78.6813     81.8947      541029    0.293383     492.717     349.521
 11.7661     115.279     72.6559 1.95628e+06     97.6268     1018.43     611.433
 9.24056     30.1237     75.4908 4.97715e+06     23.8597     1264.02     1253.37
 29.1482     98.2705     89.7126      337974     11.8871     338.748     317.583
 91.6529     25.2881     16.7947      122611     104.796     228.095     171.106
 49.4004     29.3603     40.4527      243376     5.65397     333.809     232.075
 8.25286     101.476      72.047 1.31859e+06     104.842     878.147     477.961
 359.587     127.804     58.7624 1.18253e+06     156.422     816.355     461.089
